"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR032W",328.504668798396,1.13267128668169,0.0870895002740152,13.0058305894269,1.13360501165567e-38,3.23208027977586e-37
"YDR481C",340.75350741035,1.09788397978578,0.0854889624152956,12.8424061863377,9.48789877380242e-38,2.64421755466286e-36
"YDR502C",348.537676206564,1.07604005909713,0.0844548864308987,12.7410041570247,3.4986252087253e-37,9.66339025284975e-36
"YKL096W",411.110840152453,1.00356794964273,0.0788785616226373,12.7229494174083,4.40898146680271e-37,1.2016902350268e-35
"YIL094C",286.682638452519,1.16462572592247,0.091927868712537,12.668908158464,8.79297421098276e-37,2.37563892765722e-35
"YHR216W",230.165498701491,1.26743643567863,0.102133148120421,12.4096481798862,2.31668510934676e-35,6.0992896900121e-34
"YNL220W",323.441644523318,1.05972617366671,0.086110812153369,12.3065402260899,8.35276556068526e-35,2.17136808924201e-33
"YER124C",96.8566169213246,1.9118724819512,0.1606606877477,11.9000640962871,1.18256291440438e-32,2.96215253093922e-31
"YMR195W",145.526942691971,1.53112745942523,0.129976218222294,11.780058539683,4.94587119758754e-32,1.22400420397896e-30
"YBR145W",323.892425614758,1.03409747853592,0.08800201572749,11.7508385459959,6.99215182065243e-32,1.72352363802297e-30
"YIR035C",149.858301226971,1.49465438879907,0.127614905995505,11.7122241883854,1.10346378671892e-31,2.68784663324014e-30
"YGL028C",117.577272545512,1.6744182681685,0.144552358713568,11.5834724737102,4.99796645477733e-31,1.19854335099641e-29
"YPR010C",260.696540975463,1.09048398582908,0.0958549425454981,11.3763980956066,5.48173127236793e-30,1.29448364053971e-28
"YBR054W",66.7330085695908,2.29322843494787,0.202263726582094,11.3378136243183,8.52476574489494e-30,2.00542683131806e-28
"YMR250W",199.432982483006,1.23438627232897,0.109426102755708,11.2805467913329,1.63725144402672e-29,3.83699798643687e-28
"YMR272C",186.222156341325,1.27377859000176,0.11420671207212,11.1532725782123,6.90202882492799e-29,1.61142839018224e-27
"YGL255W",136.63658324473,1.50018044678059,0.135269193460332,11.090333344972,1.39765963691612e-28,3.23869669423223e-27
"YDL048C",206.294368394765,1.236456396978,0.111801289980385,11.0594108278619,1.97389831825158e-28,4.55690630411287e-27
"YKL043W",204.255693721178,1.19893962711992,0.110098571877241,10.8896928150597,1.29074901574291e-27,2.95772746681532e-26
"YNR034W-A",73.9228765981999,2.03867392491463,0.189021670410551,10.7853978884362,4.03493393237433e-27,9.17799126455882e-26
"YBR248C",196.673495616386,1.17933048268793,0.110048588495637,10.7164526034306,8.52090081117426e-27,1.92404428170566e-25
"YHR215W",42.4279024041973,5.249770672592,0.492033200990914,10.6695455957431,1.41315768767953e-26,3.17934785951755e-25
"YER062C",259.253964445559,1.0125568654908,0.0954898442571817,10.6038173312305,2.86060179936534e-26,6.38936582406981e-25
"YGR138C",64.2996297279762,2.19305228041205,0.210668886787008,10.4099485873739,2.23342240046183e-25,4.91750334222681e-24
"YOR204W",152.891176020093,1.29573254111887,0.125457445851816,10.3280640883548,5.26116553866562e-25,1.15020604903619e-23
"YJR070C",192.222677243429,1.13883890926317,0.110914929817222,10.267679122548,9.8546886493231e-25,2.13933188327586e-23
"YER064C",247.655883068965,1.0179966107271,0.100697750631836,10.1094275129247,5.01766159694587e-24,1.06681348111011e-22
"YPL092W",125.56754363639,1.38880145305658,0.13758609424401,10.0940539135701,5.86943006206073e-24,1.24363574636883e-22
"YIR034C",121.284858184144,1.40872993905122,0.139635788633911,10.0886023048472,6.2046661363715e-24,1.3101798425164e-22
"YGL186C",183.314188977187,1.15587802444201,0.11471510741856,10.0760749865714,7.04857490076538e-24,1.47828925122154e-22
"YGR157W",180.632077820849,1.15460941929022,0.114667613167292,10.0691850767464,7.56018852067831e-24,1.58023264788638e-22
"YBR069C",209.031395914465,1.06720200620911,0.106221566494824,10.0469428330368,9.47616519188778e-24,1.96741724973858e-22
"YOR290C",105.902929448178,8.3384025805308,0.840542203485195,9.920266401802,3.39847883507721e-23,6.96238031543799e-22
"YGR208W",122.392486998121,1.40206729767455,0.141623736988,9.89994564112757,4.16501365641448e-23,8.50460049248726e-22
"YFL054C",187.697088711194,-1.27321787013682,0.129514594899709,-9.83069028724329,8.30475619447319e-23,1.68464021558051e-21
